#class tools::histo::h1d
#title Edep in absorber
#dimension 1
#axis fixed 100 0 1
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
49785,49785,49785,8.49955,0.0563302
1749,1749,1749,26.0652,0.403249
1722,1722,1722,43.0606,1.09082
1720,1720,1720,60.1719,2.11916
1717,1717,1717,77.3457,3.49818
1793,1793,1793,98.623,5.43965
1739,1739,1739,113.159,7.37772
1707,1707,1707,128.056,9.62088
1665,1665,1665,141.596,12.056
1609,1609,1609,152.627,14.4914
1720,1720,1720,180.542,18.9652
1683,1683,1683,193.529,22.2678
1678,1678,1678,209.547,26.1818
1651,1651,1651,222.73,30.0612
1702,1702,1702,246.596,35.7426
1647,1647,1647,255.334,39.5987
1630,1630,1630,268.949,44.3896
1627,1627,1627,284.726,49.8408
1641,1641,1641,303.284,56.0656
1651,1651,1651,322.031,62.8262
1741,1741,1741,356.926,73.1887
1636,1636,1636,351.737,75.6372
1667,1667,1667,375.15,84.4394
1778,1778,1778,417.957,98.2645
1825,1825,1825,447.321,109.657
1824,1824,1824,464.994,118.557
1848,1848,1848,489.749,129.807
1810,1810,1810,497.771,136.908
1973,1973,1973,562.168,160.195
1985,1985,1985,585.542,172.741
2082,2082,2082,635.191,193.806
2104,2104,2104,662.829,208.831
2180,2180,2180,708.802,230.478
2226,2226,2226,745.791,249.886
2253,2253,2253,777.232,268.145
2140,2140,2140,759.86,269.825
2433,2433,2433,888.065,324.172
2413,2413,2413,904.78,339.278
2475,2475,2475,952.9,366.897
2571,2571,2571,1015.74,401.316
2601,2601,2601,1053.39,426.635
2801,2801,2801,1162.4,482.417
2762,2762,2762,1174.19,499.197
2875,2875,2875,1250.66,544.08
2960,2960,2960,1317.67,586.599
2986,2986,2986,1358.72,618.281
3068,3068,3068,1426.53,663.325
3140,3140,3140,1491.77,708.742
3395,3395,3395,1646.58,798.621
3433,3433,3433,1699.34,841.205
3472,3472,3472,1753.98,886.107
3653,3653,3653,1881.32,968.924
3698,3698,3698,1941.29,1019.13
3827,3827,3827,2047.71,1095.7
3923,3923,3923,2137.82,1165.03
4086,4086,4086,2268.21,1259.16
4099,4099,4099,2316.34,1308.99
4273,4273,4273,2457.26,1413.12
4409,4409,4409,2579.24,1508.87
4592,4592,4592,2732.73,1626.31
4587,4587,4587,2775.33,1679.23
4842,4842,4842,2977.83,1831.41
5012,5012,5012,3132.75,1958.17
5207,5207,5207,3306.7,2099.96
5336,5336,5336,3441.74,2219.98
5572,5572,5572,3649.84,2390.81
5719,5719,5719,3803.69,2529.87
6183,6183,6183,4174.06,2817.9
6786,6786,6786,4649.08,3185.14
7388,7388,7388,5135,3569.12
7754,7754,7754,5467.27,3854.98
8689,8689,8689,6213.22,4442.95
9293,9293,9293,6738.31,4885.99
9910,9910,9910,7284.01,5353.94
10553,10553,10553,7863.07,5858.88
11470,11470,11470,8660.65,6539.49
12642,12642,12642,9671.64,7399.31
13733,13733,13733,10644.7,8250.98
15004,15004,15004,11779.4,9247.93
13544,13544,13544,10758.7,8546.31
7660,7660,7660,6165.56,4962.75
6782,6782,6782,5526.74,4503.87
5940,5940,5940,4899.67,4041.6
5074,5074,5074,4236.01,3536.45
4054,4054,4054,3424.94,2893.53
3159,3159,3159,2700.07,2307.83
2332,2332,2332,2016.55,1743.79
1688,1688,1688,1476.37,1291.29
1172,1172,1172,1036.74,917.102
732,732,732,654.98,586.07
444,444,444,401.598,363.249
219,219,219,200.195,183.006
63,63,63,58.2493,53.8575
39,39,39,36.4379,34.0445
20,20,20,18.9036,17.8674
18,18,18,17.1852,16.4075
11,11,11,10.593,10.2012
6,6,6,5.84683,5.69759
0,0,0,0,0
18265,18265,18265,18265,18265
580245,580245,580245,580245,580245
