Isotope	E_MeV	Probability
214Bi	0.0465	0.045
214Pb	0.05323	0.011295
214Pb	0.06329	0.040034
214Bi	0.067672	0.00376
214Bi	0.09238	0.0272123
214Pb	0.0928	0.0268876
214Bi	0.18599	0.0328
214Bi	0.24191	0.0745288
214Bi	0.2588	0.00462904
210Pb	0.2952	0.191873
214Bi	0.3519	0.368936
234Th	0.3891	0.00349926
226Ra	0.45477	0.00359923
214Bi	0.4805	0.00333293
214Bi	0.48725	0.00324033
234Th	0.5802	0.0035181
234Th	0.609318	0.4689
214Bi	0.66545	0.0157968
214Bi	0.7031	0.00449905
214Bi	0.7198	0.00389918
214Bi	0.76836	0.0496893
214Bi	0.78595	0.00842503
214Bi	0.7861	0.00309933
214Bi	0.80617	0.0127972
214Bi	0.83903	0.00573991
214Bi	0.93405	0.0318932
214Bi	0.9641	0.00379917
214Bi	1.00102	0.0058923
214Pb	1.05196	0.00329932
214Pb	1.07	0.0028994
214Bi	1.12028	0.154967
214Bi	1.15519	0.0172963
234Pa^m	1.2077	0.00469885
214Pb	1.2381	0.0609851
214Bi	1.28096	0.0146967
214Pb	1.37765	0.0409912
214Bi	1.3853	0.008398
214Bi	1.4015	0.0137969
214Bi	1.40798	0.0249947
214Bi	1.5092	0.0219952
214Bi	1.5385	0.00389918
230Th	1.54332	0.00399915
214Bi	1.5832	0.0076984
214Bi	1.5947	0.00279938
214Bi	1.5993	0.00359923
214Pb	1.66128	0.0113976
214Bi	1.7296	0.0299937
214Bi	1.7645	0.161967
214Pb	1.8384	0.0036992
214Bi	1.8474	0.0215952
214Pb	2.1185	0.0124971
214Bi	2.2041	0.0524887
214Bi	2.2934	0.00339929
214Bi	2.4477	0.0161967
