#class tools::histo::h1d
#title Edep in absorber
#dimension 1
#axis fixed 100 0 1
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
16912,16912,16912,9.81976,0.0666737
2023,2023,2023,30.5076,0.477168
1982,1982,1982,49.4175,1.24873
1901,1901,1901,66.3141,2.32883
1960,1960,1960,88.2345,3.98876
1931,1931,1931,106.157,5.85234
2002,2002,2002,130.164,8.47994
2009,2009,2009,150.53,11.2952
2171,2171,2171,184.664,15.7252
2382,2382,2382,226.137,21.4886
2606,2606,2606,274.023,28.8358
2750,2750,2750,316.606,36.473
3155,3155,3155,394.5,49.3552
3253,3253,3253,439.281,59.347
3582,3582,3582,519.574,75.3943
3747,3747,3747,581.006,90.1219
3900,3900,3900,643.818,106.315
4255,4255,4255,744.642,130.35
4366,4366,4366,807.828,149.506
4610,4610,4610,898.832,175.289
4927,4927,4927,1010.21,207.171
5162,5162,5162,1109.83,238.658
5350,5350,5350,1203.97,270.989
5468,5468,5468,1284.97,302.011
5887,5887,5887,1442.43,353.47
6195,6195,6195,1580.62,403.341
7152,7152,7152,1896.62,503.019
8532,8532,8532,2347.72,646.087
10009,10009,10009,2853.83,813.783
11737,11737,11737,3464.17,1022.55
13870,13870,13870,4231.98,1291.37
16373,16373,16373,5159.42,1625.96
19297,19297,19297,6273.98,2040
22883,22883,22883,7668.53,2570.06
10960,10960,10960,3769.23,1296.37
7017,7017,7017,2489.75,883.461
5419,5419,5419,1976.81,721.173
3821,3821,3821,1431.9,536.63
2503,2503,2503,962.449,370.099
1424,1424,1424,561.892,221.727
878,878,878,355.229,143.729
570,570,570,236.162,97.8508
275,275,275,116.679,49.5078
116,116,116,50.3465,21.8525
33,33,33,14.6886,6.53832
20,20,20,9.09737,4.13823
20,20,20,9.27801,4.30425
13,13,13,6.15634,2.91554
12,12,12,5.82219,2.82493
0,0,0,0,0
4,4,4,2.02073,1.02087
752576,752576,752576,385319,197283
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
